step,type,amount,oldbalanceOrg,newbalanceOrig,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud
278,CASH_IN,330218.42,20866.0,351084.42,452419.57,122201.15,0,0
15,PAYMENT,11647.08,30370.0,18722.92,0.0,0.0,0,0
10,CASH_IN,152264.21,106589.0,258853.21,201303.01,49038.8,0,0
403,TRANSFER,1551760.63,0.0,0.0,3198359.45,4750120.08,0,0
206,CASH_IN,78172.3,2921331.58,2999503.88,415821.9,337649.6,0,0
259,PAYMENT,915.13,0.0,0.0,0.0,0.0,0,0
188,CASH_OUT,20603.87,0.0,0.0,558068.66,578672.53,0,0
139,CASH_OUT,58605.72,0.0,0.0,585494.94,644100.66,0,0
230,PAYMENT,4865.11,0.0,0.0,0.0,0.0,0,0
544,CASH_OUT,118131.63,0.0,0.0,8131691.35,8476246.86,0,0
45,CASH_OUT,141100.88,80506.0,0.0,89384.09,230484.96,0,0
163,CASH_OUT,384177.48,40348.0,0.0,0.0,384177.48,0,0
211,CASH_OUT,153486.36,20476.0,0.0,85173.16,238659.53,0,0
302,CASH_OUT,51042.59,184.0,0.0,380143.14,431185.74,0,0
18,PAYMENT,48691.16,0.0,0.0,0.0,0.0,0,0
322,PAYMENT,36598.65,8240.66,0.0,0.0,0.0,0,0
158,CASH_OUT,124443.29,14236.0,0.0,0.0,124443.29,0,0
131,CASH_OUT,510190.97,57590.0,0.0,115914.88,626105.86,0,0
253,TRANSFER,940927.27,8568.0,0.0,0.0,940927.27,0,0
132,CASH_OUT,240156.34,0.0,0.0,2811902.28,3052058.62,0,0
283,CASH_OUT,44360.26,0.0,0.0,282664.52,327024.78,0,0
43,CASH_OUT,338458.24,30283.0,0.0,1055729.15,1564103.49,0,0
642,CASH_IN,311748.24,4279.0,316027.24,27843.39,0.0,0,0
164,DEBIT,151.58,10659.0,10507.42,50706.33,50857.9,0,0
326,PAYMENT,26565.95,0.0,0.0,0.0,0.0,0,0
132,CASH_OUT,6.57,0.0,0.0,2909681.35,2909687.93,0,0
37,CASH_IN,23898.77,50271.0,74169.77,205872.37,181973.6,0,0
9,CASH_OUT,26360.78,365.0,0.0,202458.96,244056.68,0,0
157,CASH_IN,192935.2,51937.0,244872.2,171874.85,0.0,0,0
406,TRANSFER,18801.43,126.0,0.0,0.0,18801.43,0,0
235,PAYMENT,3516.08,0.0,0.0,0.0,0.0,0,0
346,PAYMENT,6987.8,0.0,0.0,0.0,0.0,0,0
19,CASH_IN,8808.73,50485.0,59293.73,177448.43,168639.7,0,0
208,PAYMENT,24649.07,0.0,0.0,0.0,0.0,0,0
332,CASH_OUT,97562.73,5396.0,0.0,2455585.33,2553148.05,0,0
139,TRANSFER,598680.17,45059.0,0.0,2559233.0,3157913.17,0,0
304,CASH_OUT,218659.82,1005.0,0.0,16320325.66,16592681.56,0,0
686,CASH_IN,304408.97,4276845.77,4581254.74,1443186.93,1314479.93,0,0
139,PAYMENT,5090.28,50617.0,45526.72,0.0,0.0,0,0
226,CASH_OUT,176016.04,0.0,0.0,12916654.7,13005481.5,0,0
201,PAYMENT,11605.7,0.0,0.0,0.0,0.0,0,0
14,CASH_IN,234850.43,669990.79,904841.22,298639.42,49936.17,0,0
323,CASH_OUT,186549.79,0.0,0.0,242473.16,429022.95,0,0
225,CASH_OUT,79042.15,6064.0,0.0,410360.71,489402.86,0,0
138,PAYMENT,5055.72,108809.83,103754.11,0.0,0.0,0,0
41,PAYMENT,12020.77,639020.83,627000.06,0.0,0.0,0,0
399,CASH_IN,123326.84,5477362.0,5600688.84,3470716.16,3347389.32,0,0
120,PAYMENT,14241.21,109207.0,94965.79,0.0,0.0,0,0
373,PAYMENT,23480.16,5309.0,0.0,0.0,0.0,0,0
179,CASH_IN,195205.19,1961856.75,2157061.94,1150566.93,955361.74,0,0
544,CASH_OUT,145319.54,8056.0,0.0,696100.99,841420.53,0,0
369,PAYMENT,14270.03,3309.0,0.0,0.0,0.0,0,0
275,PAYMENT,6851.17,0.0,0.0,0.0,0.0,0,0
396,CASH_IN,296959.67,10609.0,307568.67,0.0,0.0,0,0
304,CASH_IN,166630.9,10944.0,177574.9,240525.0,73894.11,0,0
162,CASH_IN,165135.41,187326.54,352461.95,190273.97,25138.56,0,0
304,PAYMENT,1704.03,0.0,0.0,0.0,0.0,0,0
22,CASH_IN,390903.09,7947520.93,8338424.03,707650.38,316747.29,0,0
229,PAYMENT,21061.24,0.0,0.0,0.0,0.0,0,0
259,PAYMENT,8129.46,0.0,0.0,0.0,0.0,0,0
234,PAYMENT,6492.32,252978.2,246485.88,0.0,0.0,0,0
304,CASH_OUT,16242.22,0.0,0.0,1401840.75,1418082.97,0,0
352,CASH_OUT,286864.49,0.0,0.0,598674.63,885539.12,0,0
139,CASH_IN,147351.57,6185044.14,6332395.71,7292368.53,7145016.96,0,0
229,TRANSFER,21362.19,0.0,0.0,102800.19,124162.37,0,0
186,PAYMENT,16871.75,374693.53,357821.78,0.0,0.0,0,0
406,CASH_OUT,88826.43,249733.0,160906.57,963113.59,1051940.02,0,0
469,PAYMENT,38509.2,0.0,0.0,0.0,0.0,0,0
399,PAYMENT,7301.4,21426.0,14124.6,0.0,0.0,0,0
288,PAYMENT,51907.16,48529.0,0.0,0.0,0.0,0,0
204,PAYMENT,343.06,0.0,0.0,0.0,0.0,0,0
232,CASH_OUT,24413.46,5088.0,0.0,0.0,24413.46,0,0
192,CASH_OUT,125568.72,55360.0,0.0,0.0,125568.72,0,0
13,CASH_OUT,203321.66,7707.02,0.0,223460.41,426782.08,0,0
281,PAYMENT,7452.27,254793.0,247340.73,0.0,0.0,0,0
379,CASH_IN,117253.94,1527903.53,1645157.47,309923.06,192669.12,0,0
159,CASH_OUT,16500.28,0.0,0.0,1039511.46,1056011.74,0,0
324,PAYMENT,25380.11,0.0,0.0,0.0,0.0,0,0
230,CASH_OUT,95623.45,95785.0,161.55,0.0,95623.45,0,0
405,CASH_IN,122899.15,6017.0,128916.15,227088.65,104189.5,0,0
380,CASH_IN,255661.72,1148679.19,1404340.91,1991419.36,1735757.64,0,0
307,CASH_OUT,124210.26,13648.0,0.0,637289.41,761499.67,0,0
43,TRANSFER,406390.63,0.0,0.0,596285.7,1002676.33,0,0
404,CASH_IN,12747.45,3027551.36,3040298.81,193795.69,181048.24,0,0
36,PAYMENT,17210.24,468747.37,451537.13,0.0,0.0,0,0
401,CASH_IN,287548.26,6300194.15,6587742.41,1211290.25,923741.99,0,0
259,CASH_IN,326712.9,10763635.06,11090347.96,2415359.64,2088646.74,0,0
228,PAYMENT,241.89,103317.6,103075.72,0.0,0.0,0,0
236,PAYMENT,5883.37,0.0,0.0,0.0,0.0,0,0
297,PAYMENT,13055.28,0.0,0.0,0.0,0.0,0,0
12,PAYMENT,616.88,107243.5,106626.62,0.0,0.0,0,0
236,CASH_OUT,107759.5,0.0,0.0,1507711.83,1615471.33,0,0
253,CASH_IN,18868.29,21137221.01,21156089.3,34831.61,15963.32,0,0
13,PAYMENT,4986.63,0.0,0.0,0.0,0.0,0,0
36,PAYMENT,17692.64,10268.0,0.0,0.0,0.0,0,0
403,PAYMENT,7457.89,0.0,0.0,0.0,0.0,0,0
300,DEBIT,2262.52,49271.0,47008.48,124780.0,127042.52,0,0
564,CASH_IN,67418.91,52181.0,119599.91,1659195.46,1591776.55,0,0
254,PAYMENT,9414.76,5839.9,0.0,0.0,0.0,0,0
206,PAYMENT,17485.51,9339.0,0.0,0.0,0.0,0,0
186,CASH_IN,43115.41,8316334.88,8359450.29,2694031.18,2650915.76,0,0
188,PAYMENT,1408.77,99765.0,98356.23,0.0,0.0,0,0
181,CASH_OUT,251225.77,41290.0,0.0,5124625.51,5375851.29,0,0
186,CASH_OUT,329093.01,163894.0,0.0,163766.23,492859.24,0,0
18,CASH_OUT,111900.86,38599.0,0.0,0.0,111900.86,0,0
356,PAYMENT,11348.41,9611.61,0.0,0.0,0.0,0,0
203,PAYMENT,2249.75,49824.0,47574.25,0.0,0.0,0,0
178,CASH_OUT,339983.69,150825.86,0.0,1797411.66,2137395.36,0,0
11,PAYMENT,22006.91,187492.15,165485.24,0.0,0.0,0,0
255,PAYMENT,16964.15,21330.0,4365.85,0.0,0.0,0,0
35,TRANSFER,125132.6,292194.0,167061.4,0.0,125132.6,0,0
542,CASH_OUT,20450.59,0.0,0.0,739119.08,759569.67,0,0
35,CASH_IN,124651.74,20960.0,145611.74,467335.09,342683.35,0,0
240,PAYMENT,7443.29,311.0,0.0,0.0,0.0,0,0
35,PAYMENT,18520.37,37618.39,19098.02,0.0,0.0,0,0
325,CASH_OUT,240938.14,0.0,0.0,677911.3,918849.44,0,0
8,PAYMENT,5000.93,0.0,0.0,0.0,0.0,0,0
403,PAYMENT,1375.93,39672.19,38296.26,0.0,0.0,0,0
142,PAYMENT,9387.6,101296.39,91908.79,0.0,0.0,0,0
203,CASH_OUT,304736.65,50526.0,0.0,46995.26,351731.91,0,0
284,CASH_IN,154063.93,7054719.28,7208783.21,388415.07,234351.14,0,0
13,CASH_IN,413032.46,3756.0,416788.46,114764.69,0.0,0,0
189,CASH_OUT,290132.99,0.0,0.0,1772735.07,2062868.06,0,0
328,TRANSFER,1086782.27,0.0,0.0,4334991.17,5421773.44,0,0
187,CASH_OUT,258677.34,0.0,0.0,268608.27,527285.61,0,0
335,PAYMENT,680.96,244624.0,243943.04,0.0,0.0,0,0
276,CASH_IN,142803.7,3979275.72,4122079.42,314787.24,171983.54,0,0
228,CASH_OUT,404013.26,0.0,0.0,2168976.25,2572989.5,0,0
190,PAYMENT,4192.45,141582.75,137390.3,0.0,0.0,0,0
38,PAYMENT,6865.83,16065.0,9199.17,0.0,0.0,0,0
154,CASH_OUT,199096.88,0.0,0.0,403366.37,602463.25,0,0
183,CASH_IN,40105.0,44462.0,84567.0,888624.22,848519.22,0,0
404,PAYMENT,29753.14,99613.0,69859.86,0.0,0.0,0,0
37,CASH_OUT,37005.75,0.0,0.0,145970.25,182976.01,0,0
211,TRANSFER,658510.65,0.0,0.0,4160208.26,4818718.91,0,0
357,PAYMENT,14962.54,99053.0,84090.46,0.0,0.0,0,0
205,CASH_IN,115930.12,2700081.42,2816011.53,2082239.58,1966309.46,0,0
287,CASH_OUT,205453.92,0.0,0.0,1924157.61,2129611.54,0,0
163,PAYMENT,8548.76,21358.0,12809.24,0.0,0.0,0,0
514,TRANSFER,1958230.6,69563.0,0.0,5345774.9,7304005.5,0,0
231,CASH_OUT,168377.94,0.0,0.0,1238581.58,1406959.51,0,0
250,CASH_IN,142011.88,253857.0,395868.88,520248.21,378236.33,0,0
297,PAYMENT,7803.55,0.0,0.0,0.0,0.0,0,0
378,CASH_IN,261090.52,1906884.05,2167974.57,4584136.21,4323045.69,0,0
208,CASH_OUT,185642.4,43444.0,0.0,0.0,185642.4,0,0
349,PAYMENT,22673.48,21910.0,0.0,0.0,0.0,0,0
252,CASH_OUT,318180.66,400960.77,82780.11,438344.43,762954.86,0,0
161,PAYMENT,1416.71,188315.86,186899.15,0.0,0.0,0,0
202,PAYMENT,8941.05,160.0,0.0,0.0,0.0,0,0
354,CASH_OUT,103884.78,9974.0,0.0,604986.43,708871.21,0,0
163,PAYMENT,1412.48,10052.0,8639.52,0.0,0.0,0,0
236,CASH_IN,93940.35,29505.0,123445.35,0.0,0.0,0,0
333,PAYMENT,15039.71,0.0,0.0,0.0,0.0,0,0
380,PAYMENT,10424.44,20809.0,10384.56,0.0,0.0,0,0
232,CASH_IN,33530.31,4343409.73,4376940.04,80997.34,47467.03,0,0
405,PAYMENT,7328.72,0.0,0.0,0.0,0.0,0,0
571,CASH_IN,18593.97,5004065.66,5022659.62,61037.91,42443.94,0,0
139,CASH_IN,111540.89,533807.17,645348.07,1998273.93,1886733.04,0,0
326,PAYMENT,16769.79,15952.0,0.0,0.0,0.0,0,0
18,PAYMENT,7858.1,20773.0,12914.9,0.0,0.0,0,0
300,TRANSFER,292037.17,0.0,0.0,953736.46,1245773.64,0,0
257,TRANSFER,63982.69,0.0,0.0,95692.27,159674.96,0,0
353,CASH_IN,153216.34,7920054.5,8073270.84,474744.05,113510.5,0,0
155,PAYMENT,3170.83,49631.0,46460.17,0.0,0.0,0,0
20,CASH_OUT,107313.94,0.0,0.0,1813650.37,2791624.38,0,0
202,CASH_OUT,134328.08,0.0,0.0,1137825.22,1272153.31,0,0
12,PAYMENT,10446.68,0.0,0.0,0.0,0.0,0,0
323,CASH_OUT,214059.76,61891.0,0.0,0.0,214059.76,0,0
305,CASH_IN,313733.83,10603.0,324336.83,0.0,0.0,0,0
348,CASH_IN,22200.81,1608898.38,1631099.19,235527.08,213326.27,0,0
12,CASH_OUT,178217.38,0.0,0.0,4501961.18,4251161.93,0,0
229,CASH_OUT,220486.58,0.0,0.0,2269179.58,2489666.16,0,0
396,TRANSFER,875213.55,0.0,0.0,4309830.28,5185043.84,0,0
11,PAYMENT,14459.22,39948.0,25488.78,0.0,0.0,0,0
236,CASH_OUT,121422.39,0.0,0.0,1626826.73,1748249.12,0,0
154,CASH_OUT,39590.21,0.0,0.0,318883.91,358474.12,0,0
301,CASH_OUT,273339.15,339571.0,66231.85,696280.86,969620.01,0,0
7,CASH_OUT,77253.21,1091.15,0.0,471444.0,336403.65,0,0
10,CASH_OUT,74190.1,249729.76,175539.66,318930.32,21980.31,0,0
253,CASH_OUT,231641.71,0.0,0.0,1833515.56,2065157.27,0,0
191,CASH_IN,35269.59,1377518.85,1412788.44,610488.88,575219.29,0,0
207,CASH_OUT,95024.86,0.0,0.0,186797.47,281822.33,0,0
302,CASH_OUT,386023.54,0.0,0.0,389015.34,775038.88,0,0
212,CASH_IN,116135.75,204673.0,320808.75,0.0,0.0,0,0
328,CASH_OUT,212884.77,0.0,0.0,2277569.78,2490454.55,0,0
137,CASH_IN,305973.1,392034.0,698007.1,0.0,0.0,0,0
94,CASH_IN,162920.46,8643332.42,8806252.88,7520724.02,7357803.55,0,0
374,CASH_OUT,255955.77,2002.0,0.0,0.0,255955.77,0,0
250,PAYMENT,4987.09,299610.0,294622.91,0.0,0.0,0,0
42,CASH_OUT,107141.17,12453.0,0.0,259702.29,515055.45,0,0
155,CASH_OUT,45301.79,0.0,0.0,1278399.51,1323701.3,0,0
234,TRANSFER,115712.36,0.0,0.0,1098693.52,1214405.88,0,0
656,PAYMENT,5220.64,2062.0,0.0,0.0,0.0,0,0
374,CASH_IN,91206.28,109671.0,200877.28,41086.89,0.0,0,0
299,PAYMENT,20936.47,7182.0,0.0,0.0,0.0,0,0
182,CASH_OUT,173655.13,159039.0,0.0,163853.98,337509.11,0,0
330,CASH_OUT,218540.35,0.0,0.0,8530150.36,8748690.71,0,0
39,CASH_OUT,440759.52,0.0,0.0,933334.67,1374094.19,0,0
249,TRANSFER,268912.48,0.0,0.0,1111399.5,1380311.99,0,0
191,PAYMENT,245.4,0.0,0.0,0.0,0.0,0,0
331,TRANSFER,35206.18,0.0,0.0,142763.66,177969.84,0,0
